idmatch,player,bet
Lorient-Nancy,adndebanane_elo,2
Lille-Monaco,adndebanane_elo,2
Nice-Marseille,adndebanane_elo,1
Lyon-Bordeaux,adndebanane_elo,1
Paris SG-St Etienne,adndebanane_elo,1
Bastia-Toulouse,adndebanane_elo,2
Angers-Dijon,adndebanane_elo,2
Rennes-Caen,adndebanane_elo,2
Nantes-Metz,adndebanane_elo,1
Guingamp-Montpellier,adndebanane_elo,1
Lorient-Nancy,adndebanane_hasard,N
Lille-Monaco,adndebanane_hasard,1
Nice-Marseille,adndebanane_hasard,1
Lyon-Bordeaux,adndebanane_hasard,N
Paris SG-St Etienne,adndebanane_hasard,1
Bastia-Toulouse,adndebanane_hasard,1
Angers-Dijon,adndebanane_hasard,2
Rennes-Caen,adndebanane_hasard,N
Nantes-Metz,adndebanane_hasard,2
Guingamp-Montpellier,adndebanane_hasard,1
Lorient-Nancy,adndebanane,2
Lille-Monaco,adndebanane,2
Nice-Marseille,adndebanane,1
Lyon-Bordeaux,adndebanane,1
Paris SG-St Etienne,adndebanane,1
Bastia-Toulouse,adndebanane,N
Angers-Dijon,adndebanane,2
Rennes-Caen,adndebanane,1
Nantes-Metz,adndebanane,N
Guingamp-Montpellier,adndebanane,1
Lorient-Nancy,Rockaround,1
Lille-Monaco,Rockaround,N
Nice-Marseille,Rockaround,1
Lyon-Bordeaux,Rockaround,1
Paris SG-St Etienne,Rockaround,1
Bastia-Toulouse,Rockaround,2
Angers-Dijon,Rockaround,N
Rennes-Caen,Rockaround,N
Nantes-Metz,Rockaround,1
Guingamp-Montpellier,Rockaround,N
Lorient-Nancy,mrBen,N
Lille-Monaco,mrBen,N
Nice-Marseille,mrBen,1
Lyon-Bordeaux,mrBen,2
Paris SG-St Etienne,mrBen,N
Bastia-Toulouse,mrBen,2
Angers-Dijon,mrBen,2
Rennes-Caen,mrBen,N
Nantes-Metz,mrBen,2
Guingamp-Montpellier,mrBen,1
Lorient-Nancy,Clem,N
Lille-Monaco,Clem,N
Nice-Marseille,Clem,1
Lyon-Bordeaux,Clem,1
Paris SG-St Etienne,Clem,1
Bastia-Toulouse,Clem,2
Angers-Dijon,Clem,2
Rennes-Caen,Clem,N
Nantes-Metz,Clem,1
Guingamp-Montpellier,Clem,1
Nancy-Nantes,mrBen,N
St Etienne-Bastia,mrBen,N
Lorient-Lille,mrBen,2
Bordeaux-Angers,mrBen,N
Montpellier-Nice,mrBen,2
Marseille-Lyon,mrBen,2
Dijon-Metz,mrBen,2
Toulouse-Guingamp,mrBen,N
Monaco-Rennes,mrBen,1
Caen-Paris SG,mrBen,1
Nancy-Nantes,Rockaround,2
St Etienne-Bastia,Rockaround,1
Lorient-Lille,Rockaround,2
Bordeaux-Angers,Rockaround,N
Montpellier-Nice,Rockaround,2
Marseille-Lyon,Rockaround,2
Dijon-Metz,Rockaround,N
Toulouse-Guingamp,Rockaround,N
Monaco-Rennes,Rockaround,1
Caen-Paris SG,Rockaround,2
Nancy-Nantes,adndebanane_elo,1
St Etienne-Bastia,adndebanane_elo,1
Lorient-Lille,adndebanane_elo,2
Bordeaux-Angers,adndebanane_elo,1
Montpellier-Nice,adndebanane_elo,2
Marseille-Lyon,adndebanane_elo,2
Dijon-Metz,adndebanane_elo,1
Toulouse-Guingamp,adndebanane_elo,1
Monaco-Rennes,adndebanane_elo,1
Caen-Paris SG,adndebanane_elo,2
Nancy-Nantes,adndebanane_hasard,1
St Etienne-Bastia,adndebanane_hasard,1
Lorient-Lille,adndebanane_hasard,2
Bordeaux-Angers,adndebanane_hasard,1
Montpellier-Nice,adndebanane_hasard,N
Marseille-Lyon,adndebanane_hasard,1
Dijon-Metz,adndebanane_hasard,1
Toulouse-Guingamp,adndebanane_hasard,N
Monaco-Rennes,adndebanane_hasard,N
Caen-Paris SG,adndebanane_hasard,1
Nancy-Nantes,adndebanane,1
St Etienne-Bastia,adndebanane,1
Lorient-Lille,adndebanane,2
Bordeaux-Angers,adndebanane,1
Montpellier-Nice,adndebanane,2
Marseille-Lyon,adndebanane,N
Dijon-Metz,adndebanane,1
Toulouse-Guingamp,adndebanane,2
Monaco-Rennes,adndebanane,1
Caen-Paris SG,adndebanane,2
Nancy-Nantes,Clem,1
St Etienne-Bastia,Clem,1
Lorient-Lille,Clem,2
Bordeaux-Angers,Clem,1
Montpellier-Nice,Clem,2
Marseille-Lyon,Clem,2
Dijon-Metz,Clem,1
Toulouse-Guingamp,Clem,N
Monaco-Rennes,Clem,1
Caen-Paris SG,Clem,2
Lille-Toulouse,Matchaos,1
Nice-Monaco,Matchaos,2
Lyon-Montpellier,Matchaos,N
Paris SG-Dijon,Matchaos,1
Bastia-Nancy,Matchaos,1
Angers-Caen,Matchaos,2
Rennes-Marseille,Matchaos,N
Nantes-St Etienne,Matchaos,2
Guingamp-Lorient,Matchaos,1
Metz-Bordeaux,Matchaos,2
Lille-Toulouse,mrBen,N
Nice-Monaco,mrBen,N
Lyon-Montpellier,mrBen,N
Paris SG-Dijon,mrBen,2
Bastia-Nancy,mrBen,2
Angers-Caen,mrBen,2
Rennes-Marseille,mrBen,N
Nantes-St Etienne,mrBen,1
Guingamp-Lorient,mrBen,2
Metz-Bordeaux,mrBen,1
Lille-Toulouse,Emeric,1
Nice-Monaco,Emeric,N
Lyon-Montpellier,Emeric,1
Paris SG-Dijon,Emeric,1
Bastia-Nancy,Emeric,2
Angers-Caen,Emeric,1
Rennes-Marseille,Emeric,N
Nantes-St Etienne,Emeric,2
Guingamp-Lorient,Emeric,1
Metz-Bordeaux,Emeric,2
Lille-Toulouse,adndebanane_elo,1
Nice-Monaco,adndebanane_elo,1
Lyon-Montpellier,adndebanane_elo,1
Paris SG-Dijon,adndebanane_elo,1
Bastia-Nancy,adndebanane_elo,1
Angers-Caen,adndebanane_elo,2
Rennes-Marseille,adndebanane_elo,1
Nantes-St Etienne,adndebanane_elo,2
Guingamp-Lorient,adndebanane_elo,1
Metz-Bordeaux,adndebanane_elo,2
Lille-Toulouse,adndebanane_hasard,N
Nice-Monaco,adndebanane_hasard,2
Lyon-Montpellier,adndebanane_hasard,N
Paris SG-Dijon,adndebanane_hasard,2
Bastia-Nancy,adndebanane_hasard,2
Angers-Caen,adndebanane_hasard,1
Rennes-Marseille,adndebanane_hasard,2
Nantes-St Etienne,adndebanane_hasard,2
Guingamp-Lorient,adndebanane_hasard,1
Metz-Bordeaux,adndebanane_hasard,2
Lille-Toulouse,adndebanane,2
Nice-Monaco,adndebanane,2
Lyon-Montpellier,adndebanane,1
Paris SG-Dijon,adndebanane,1
Bastia-Nancy,adndebanane,1
Angers-Caen,adndebanane,N
Rennes-Marseille,adndebanane,N
Nantes-St Etienne,adndebanane,2
Guingamp-Lorient,adndebanane,1
Metz-Bordeaux,adndebanane,2
Lille-Toulouse,Clem,1
Nice-Monaco,Clem,2
Lyon-Montpellier,Clem,1
Paris SG-Dijon,Clem,1
Bastia-Nancy,Clem,1
Angers-Caen,Clem,2
