Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2016-08-12,Bastia,Paris SG,A,0,1,13,4.75,1.29,Bastia-Paris SG,2
2016-08-12,Monaco,Guingamp,D,2,2,1.62,3.8,5.25,Monaco-Guingamp,N
2016-08-13,Bordeaux,St Etienne,H,3,2,2.5,3.1,3.1,Bordeaux-St Etienne,1
2016-08-13,Caen,Lorient,H,3,2,2.2,3.25,3.5,Caen-Lorient,1
2016-08-13,Dijon,Nantes,A,0,1,2.5,3.1,3.1,Dijon-Nantes,2
2016-08-13,Metz,Lille,H,3,2,3.4,3.2,2.2,Metz-Lille,1
2016-08-13,Montpellier,Angers,H,1,0,2.1,3.1,4,Montpellier-Angers,1
2016-08-14,Marseille,Toulouse,D,0,0,2,3.3,4,Marseille-Toulouse,N
2016-08-14,Nancy,Lyon,A,0,3,3.5,3.3,2.15,Nancy-Lyon,2
2016-08-14,Nice,Rennes,H,1,0,2.38,3.1,3.25,Nice-Rennes,1
2016-08-19,Lyon,Caen,H,2,0,1.33,4.75,9.5,Lyon-Caen,1
2016-08-20,Angers,Nice,A,0,1,2.5,3,3.2,Angers-Nice,2
2016-08-20,Lille,Dijon,H,1,0,1.67,3.5,6,Lille-Dijon,1
2016-08-20,Lorient,Bastia,A,0,3,1.85,3.5,4.5,Lorient-Bastia,2
2016-08-20,Nantes,Monaco,A,0,1,2.5,3,3,Nantes-Monaco,2
2016-08-20,Rennes,Nancy,H,2,0,2.1,3.25,3.8,Rennes-Nancy,1
2016-08-20,Toulouse,Bordeaux,H,4,1,2.3,3.2,3.25,Toulouse-Bordeaux,1
2016-08-21,Guingamp,Marseille,H,2,1,2.7,3.1,2.8,Guingamp-Marseille,1
2016-08-21,Paris SG,Metz,H,3,0,1.13,8,26,Paris SG-Metz,1
2016-08-21,St Etienne,Montpellier,H,3,1,2.05,3.25,3.75,St Etienne-Montpellier,1
2016-08-26,Marseille,Lorient,H,2,0,1.75,3.6,5,Marseille-Lorient,1
2016-08-27,Caen,Bastia,H,2,0,2.1,3.25,3.8,Caen-Bastia,1
2016-08-27,Dijon,Lyon,H,4,2,4.33,3.6,1.83,Dijon-Lyon,1
2016-08-27,Metz,Angers,H,2,0,2.5,3,3.2,Metz-Angers,1
2016-08-27,Montpellier,Rennes,D,1,1,2.38,3.1,3.2,Montpellier-Rennes,N
2016-08-27,Nancy,Guingamp,A,0,2,2.15,3.25,3.6,Nancy-Guingamp,2
2016-08-27,Nice,Lille,D,1,1,2.5,3,3,Nice-Lille,N
2016-08-28,Bordeaux,Nantes,H,1,0,2.05,3.1,4.2,Bordeaux-Nantes,1
2016-08-28,Monaco,Paris SG,H,3,1,4.75,3.5,1.8,Monaco-Paris SG,1
2016-08-28,St Etienne,Toulouse,D,0,0,2.15,3.25,3.6,St Etienne-Toulouse,N
